n,p,gamma,rho,df,snr,rep,method,mse
200,100,0.5,0.5,1.0,5,1,OLS,44.57577357377936
200,100,0.5,0.5,1.0,5,1,LAD,0.4093335142836399
200,100,0.5,0.5,1.0,5,1,Huber,0.3716716858810434
200,100,0.5,0.5,1.0,5,2,OLS,74.50222978561864
200,100,0.5,0.5,1.0,5,2,LAD,7.563393484117606
200,100,0.5,0.5,1.0,5,2,Huber,7.186103945585545
200,100,0.5,0.5,1.0,5,3,OLS,78.19942670452828
200,100,0.5,0.5,1.0,5,3,LAD,7.4416156117010175
200,100,0.5,0.5,1.0,5,3,Huber,7.657838891891015
200,100,0.5,0.5,3.0,5,1,OLS,51.39279933934618
200,100,0.5,0.5,3.0,5,1,LAD,82.89980997805354
200,100,0.5,0.5,3.0,5,1,Huber,68.08314316365619
200,100,0.5,0.5,3.0,5,2,OLS,124.53813089816802
200,100,0.5,0.5,3.0,5,2,LAD,109.65718717149886
200,100,0.5,0.5,3.0,5,2,Huber,96.5612666389827
200,100,0.5,0.5,3.0,5,3,OLS,57.55771574855332
200,100,0.5,0.5,3.0,5,3,LAD,50.50020533727932
200,100,0.5,0.5,3.0,5,3,Huber,38.95991340760126
200,100,0.5,0.5,inf,5,1,OLS,91.83277133808316
200,100,0.5,0.5,inf,5,1,LAD,108.88606682892576
200,100,0.5,0.5,inf,5,1,Huber,103.54836858760733
200,100,0.5,0.5,inf,5,2,OLS,75.57949352838297
200,100,0.5,0.5,inf,5,2,LAD,94.94864757959412
200,100,0.5,0.5,inf,5,2,Huber,72.70440467460277
200,100,0.5,0.5,inf,5,3,OLS,60.08484502064452
200,100,0.5,0.5,inf,5,3,LAD,86.08319971096738
200,100,0.5,0.5,inf,5,3,Huber,67.5491914255685
